"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Step 5,4,103430,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Step 4,4,101350,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,base,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Step 3,1,right-hand side,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,left-hand side,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,103440,,,,,,,,
"IKEA STOCKHOLM BOOKCASE 28X87"" (601-037-88)",4,brace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IKEA STOCKHOLM BOOKCASE 28X87"" (601-037-88)",2,shelf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IKEA STOCKHOLM BOOKCASE 28X87"" (601-037-88)",1,Step 8,4,110680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IKEA STOCKHOLM BOOKCASE 28X87"" (601-037-88)",,,2,109053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IKEA STOCKHOLM BOOKCASE 28X87"" (601-037-88)",,,1,Step 7,1,top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IKEA STOCKHOLM BOOKCASE 28X87"" (601-037-88)",,,,,1,Step 6,1,shelf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IKEA STOCKHOLM BOOKCASE 28X87"" (601-037-88)",,,,,,,1,Step 5,1,back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IKEA STOCKHOLM BOOKCASE 28X87"" (601-037-88)",,,,,,,,,1,Step 4,6,107468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IKEA STOCKHOLM BOOKCASE 28X87"" (601-037-88)",,,,,,,,,,,2,cross piece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IKEA STOCKHOLM BOOKCASE 28X87"" (601-037-88)",,,,,,,,,,,1,shelf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IKEA STOCKHOLM BOOKCASE 28X87"" (601-037-88)",,,,,,,,,,,1,Step 3,2,shelf support frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IKEA STOCKHOLM BOOKCASE 28X87"" (601-037-88)",,,,,,,,,,,,,12,115936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LEKSVIK BOOKCASE 36X78""",6,109510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LEKSVIK BOOKCASE 36X78""",1,Step 8,8,103430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LEKSVIK BOOKCASE 36X78""",,,1,Step 7,22,101350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
